Claimant,Amount,Bonus,Bonus Amount,81958,
0xeed25af9310e3b1de512ad946e4432d650d3ebb5,302.3342,50.47461033,,,
0x2dde6cf9117803448432dba7ab6de1d6bef91e29,301.7656136,50.37968499,,,
0xb98b583b39ccc6459491ba6ab24d56dd95924935,301.5,50.33534088,,,
0x3010b8ebdffcc76831574d923a1d80d1a203f11c,300.933806,50.24081495,,,
0xff05599209eb014673ff511bad37e2d34b12ac60,300,50.0849163,,,
0x532a9d861598ef2a8cb9074e7b9ba56e48e11027,297.9569328,49.7438268,,,
0x56fb7012f20e7b70817035fd9a3cf5456bd62482,293.3269752,48.97085667,,,
0xda5d73d6c3a5cc4a4e5e3f8429389e9a46188b7f,286.5914058,47.84635524,,,
0xf2a82b388ed27b92b892c8a7fdeee5508104ab5a,286.4413838,47.8213091,,,
0x7b80ce4c3bfadd878d93bf5220b0663b345ac662,286.356,47.8070543,,,
0xffbc56aa333873946cb2acb7121543b70c776cc5,277.8373329,46.38486521,,,
0x241a62b25eb7bfe1a70ec40af4e4da4b3e05cf4d,275.0538682,45.92016655,,,
0xb1fe569478506aefec2bcc84321e8d2053fe3fbb,272.4,45.477104,,,
0x8a46645f3e1336d5ffc3e211a0e33da52ad6128e,268.5855636,44.8402849,,,
0x63eed9a40bec1bc229b397e6ecf22e59276fe203,268.1840538,44.77325295,,,
0x1e27c17432abff8e314b421be50c63a42d3e95e0,266.4383562,44.48180923,,,
0xbbf219f5081314ad78a9887ea9891f51ab332e5f,261.5071015,43.65853763,,,
0x2b80916df4ff053b0108d694424bec7e86184d40,255.1633528,42.59945056,,,
0x3349a091e9e4f49da99e69e2b62d82a892796ccd,251.7196483,42.02452505,,,
0xf2c662a15acdff37a506b7a8f928c8665414ebd1,245.9309,41.05809514,,,
0xe03917c2adc9a0feed1f4a2b63f5ef2adf7af93e,244.1155246,40.75501872,,,
0xfd64bc286bab5f0b6456dd7ddb909bb1f32effb3,241.2,40.2682727,,,
0x641d837ac1bc7d04a8ddd0d2c0455c251cdea6e6,240,40.06793304,,,
0xafe2b51592b89095a4cfb18da2b5914b528f4c01,240,40.06793304,,,
0xc60c3af3fb0eb8f014903b6de471bfbdf62fa48f,232.9,38.88259002,,,
0x5efce18dcd88437532753a2036bfa08a214e760f,230.5537229,38.49087971,,,
0x9c75a0e4bc1f05ad7da5df534f96872bf3e14afd,230.262,38.44217665,,,
0x3d234804e44e4e9663bdc327123e50da801e0728,229.7663801,38.35943305,,,
0x4d215a4e10f137710dafcb9589e023afd0215e03,224.2906185,37.44525618,,,
0xf5f6b0086babe9f0b2d87c7dc761ad26ae65ff0b,224,37.3967375,,,
0x535a61bb35372f7f5bcff3fc5446cec3e160a473,222.2297722,37.10119846,,,
0x2fcaf286b82068bb2903d40ed0f15d80b82b0544,219.58563,36.65975966,,,
0xaaa9a569c2e631b4e33e62d044020f21c114f450,218.116,36.41440534,,,
0xae82ac59fd5ef9fd641bad02158ba5832fac637e,216.7139271,36.18032966,,,
0x2d9850330f767df16052c8d5432b6964a90e1350,210.5365252,35.14901414,,,
0x5fb4d8ea6de96159c78a4a6ac2ffc4b389686dd5,210.2740593,35.10519553,,,
0x4b9b2e6dea3a2d78bba1d2d7a5ec31a6093a6680,210.1800344,35.0894981,,,
0x2ca219078245bf2d93c01d09d6954edef1672180,210.1444937,35.08356459,,,
0xef99e53ab038e11334171b7a5b9c6f79c198d729,203.0263114,33.89518604,,,
0x15e9806671633a4a9862fcdd81cfacce4f04f5c4,203,33.89079336,,,
0x4df6bc4de8a376837504b2796c476663014a25bb,201.7681367,33.68513413,,,
0xb2e5c3ee488b3a1910cd667bd81e647910e068b9,201.72,33.67709772,,,
0x389ec31c8afb9a14d5eed9f30cdb579507800771,200.6472,33.49799406,,,
0xb8bb9b814fb333aee71ffd711c9c253c06fa2fc8,200.186208,33.42103157,,,
0x06eb2dd293a8453cbb2cd16b264f39cd85c71e1e,200.1652591,33.41753416,,,
0x132170df858710647af0b1dc9cd51a3110eb0d49,198.9797,33.2196054,,,
0x095fb8a8cc760d0373c1ec7d2359e2348b548d6d,196.5528859,32.81444946,,,
0x16c32c1fb7ff6eb3fa789df9ecdfdf264c8f5185,194.7802925,32.51851549,,,
0x9a626bc36c11ef707bb839fa5f1449d7009eae2e,193.9680273,32.38290804,,,
0x2197a02f905ab6473d2bf9b1864feb60d622092c,193.5817099,32.31841246,,,
0x3731696c9b5098beacf8dd03ac00c30bba979806,189.8047421,31.68784874,,,
0x4b8d45531099b1cfa0d681f12b4b1e9def28dac9,188.7942846,31.51915314,,,
0x45e48c0a6fe8b759652624451c83387130c58367,186.2292515,31.09092158,,,
0x75228123400ce67ce3dd677ce5dfd54481d59357,183.8226641,30.68914248,,,
0x1ed20438d05a8dda234d9995bb45ebf1fce21862,180,30.05094978,,,
0x78403c44cb1cfba359ebe70cece3d2248e6ee424,178.56,29.81054218,,,
0xb5b2bd41325b50f884194096dff7d8cad6382e7d,178.1578873,29.74340958,,,
0xe7a30433576c5df903125a0dbd086978b463aacb,177,29.55010061,,,
0x0368e15767e08ee255016846ab1d9c285d3ed717,173.024685,28.88642288,,,
0x609949ccf906303cfd4f2a8365cc78a987284fc7,172.9825711,28.87939198,,,
0x0bf2f30fd564e9ca0fb013ab343ae68c98eb008b,170.6418013,28.48860112,,,
0x2f246a3eee3ce34c113c9513a67a822f96878c1c,169.7868432,28.3458661,,,
0xd97beffdf558b269257feba5df111ab718b71e24,169.506978,28.29914268,,,
0xce1c0cfd8601156a4aef504ca99d5015d56e7d90,167.5248237,27.96822257,,,
0x0a6e75bc13693d950416fc29c511ee5bbf12e272,163.3115035,27.26480994,,,
0xe03ca3b20fd8d366c98f56695089b8dbda687096,162.2784,27.0923336,,,
0x453f16f42f9d6cd8264bb7e797a0d7231e089e10,160.3649371,26.7728815,,,
0xd30ad1986bfefe85264af30e28704ce4f803a67e,160,26.71195536,,,
0xf0f9ddc7614360010fbf289c318081a4a42e30ee,160,26.71195536,,,
0x08d159f35449cc667628ac62334c5c694b38e40d,158.2406565,26.41823345,,,
0x21883033e96ce9a6f5891dd365d6ff5e10d70ffc,157.2788333,26.25765734,,,
0xb04a9ccbdb801c4ca0403344edb6ff0ecab07a8e,156.665393,26.15524365,,,
0x0da5e7ab6180ca20c00671365e2d51fad20ed401,152.8,25.50991737,,,
0x46e5dd9117b7c761683a9ca54116921dcee56a00,152.5728,25.47198639,,,
0x79afb1767bd626fc398bcfe48df982dafd492211,151.2562231,25.25218424,,,
0xa446a5e87248dbee737ae0a2ddf548690c35db05,150.1,25.05915312,,,
0x308430128e10c349ea7ef76f6c7b140f13711190,150,25.04245815,,,
0x73a8d2d6f49894bad1322c691b66b7e8ac241fbe,145.3633432,24.26836959,,,
0x46640ba8e278a71a5d121a46e0051e016c714b97,144,24.04075982,,,
0xf6b007b60197cfe60b8849edfec4812d63008a26,139.02,23.20935021,,,
0x7b8c284afd03fdfe4edb3775b8201cfd82744561,138.3757444,23.10179192,,,
0x298c684c086f2ca85cd8b8005cf755a183b17002,137.6829227,22.98612553,,,
0x3ee0ed6b8a321b533d0ab12970943895115d3420,135.658,22.64806525,,,
0x7aacea2929a2e69b45b2699c2ec53072a19d8f25,134.1992,22.404519,,,
0x2c59900b9442b7a865f93219c04f553a0d7bd003,133.6716848,22.31645048,,,
0x6064d08d4777bdea395ec9767373e7ff4efdf3cb,133.2429896,22.24487994,,,
